번호,행정동,법정동/리,고택명,소재지,분야,설립년도,창건자,소유자,관리자,구조,문화재 지정,숙박 여부,별칭,중복의심
274,예안면,주진리,낙은정,안동시 예안면 주진배나들길 73-7,정자,1861년,미상,,정자 관리 위원,3X2,안동시 문화유산,X,예안면,False
275,예안면,주진리,안동 삼산정,안동시 예안면 삼산길 14,정자,미상,류정원,류종환,류기웅,"3X2, 팔작지붕",경북 유형문화재,X,,False
276,예안면,주진리,안동 전주류씨 삼산종택,안동시 예안면 기사길 42,주거가옥,1750년,미상,류종환,류기웅,"정침: 3X1.5, 'ㅁ'자형, 홑처마, 팔작지붕 사랑채: 3X1.5, 'ㅡ'자형, 홑처마, 팔작지붕 사당: 3X1, 'ㅡ'자형, 홑처마, 맞배지붕",경북 민속문화재,X,,False
277,예안면,주진리,침산정,안동시 예안면 삼산길 14,주거가옥,미상,미상,,,"3X2, 홑처마, 팔작지붕",비지정,X,,False
278,예안면,태곡리,한천정사,안동시 예안면 부포로 12-3,재사,1786년,사림,김기수,김기수,"3X2, 홑처마, 팔작지붕",경북 문화재자료,X,,False
279,일직면,광연리,순천김씨 동리재사,안동시 일직면 광연길 64-2,재사,미상,순천김씨 문중,,,"4X2, 'ㄱ'자형, 홑처마, 팔작지붕+맞배지붕",안동시 문화유산,X,,False
280,일직면,광연리,영양남씨 광연재사,안동시 일직면 중반들길 52-1,재사,미상,영양남씨 문중,,,"4X5, 'ㅁ'자형 아래채: 4X3, 'ㄷ'자형 대청채: 4X2, 'ㅡ'자형",비지정,X,,False
281,일직면,광연리,허영정,안동시 일직면 중반들길 52-12,정자,미상,영양남씨 문중,남시화,김태운,"3x2, 홑처마, 팔작지붕",비지정,X,,False
282,일직면,귀미리,구암정사,안동시 일직면 일직점곡로 186-35,재사,1791년~1795년,김굉,의성김씨 문중,김동호,"재사: 4X2, 'ㅡ'자형, 홑처마, 팔작기와 사당:: 3X2, 'ㅡ'자형, 홑처마, 맞배지붕",경북 기념물,X,귀암정사,False
283,일직면,귀미리,사휴서당,안동시 일직면 귀미길 6-11,서당,미상 / 1980년대(신축),미상,,,"4X1.5, 홑처마, 팔작지붕",비지정,X,,False
284,일직면,귀미리,안동 생담정사,안동시 일직면 일직점곡로 186-36,재사,1795년,김굉,김동호,김동호,"3x2, 홑처마, 팔작지붕",경북 문화재자료,X,,False
285,일직면,귀미리,의성김씨 손암종가,안동시 일직면 귀미길 49,주거가옥,미상,미상,김철환,김철환,,비지정,X,,False
286,일직면,귀미리,이산정 및 자운정,안동시 일직면 지실들길 102-9,정자,미상,김굉,김동호,김동호,"이산정: 3x2, 'ㅡ'자형, 팔작지붕 자운정: 3x2, 'ㅡ'자형, 맞배지붕",비지정,X,,False
287,일직면,망호리,구천강당,안동시 일직면 일직점곡로 13-7,재사,1895년,한산이씨 문중,한산이씨 문중,이경원 이태원,"5x2, 겹처마, 팔작지붕",비지정,X,한산이씨 재실,False
288,일직면,망호리,망호리 남씨영모사,안동시 일직면 안망실길 11,사당,1826년 / 1987년(신축),영양남씨 문중,영양남씨 문중,남선환,"강당(공산정사): 3x2, 'ㅡ'자형, 홑처마, 팔작지붕 사당(영모사): 3x2, 'ㅡ'자형, 홑처마, 팔작지붕",경북 문화재자료,X,공산정사,False
289,일직면,망호리,성남정,안동시 일직면 망호한길 6-6,정자,미상,순천장씨 문중,순천장씨문중,장직수,"3x1.5, 홑처마, 팔작지붕",비지정,X,,False
290,일직면,망호리,손암정,안동시 일직면 지실들길 97,정자,미상,미상,,,"4X1.5, 겹처마, 팔작지붕",비지정,X,,False
291,일직면,망호리,수옥정,안동시 일직면 일직점곡로 3-29,정자,미상 / 1954년(복원),한산이씨 문중,한산이씨 수은공파종중,이동수,"4x1.5, 홑처마, 팔작지붕",비지정,X,,False
292,일직면,망호리,안동 소호헌,안동시 일직면 소호헌길 6,주거가옥,조선중기,서해,서정철,관리자,"소호헌: 4x2, 'T'자형, 겹처마, 팔작지붕+맞배지붕 언채: 7X1.5, 'ㅡ'자형, 겹처마, 맞배지붕 약봉태실: 4X2",보물,X,,False
293,일직면,망호리,한산이씨 구정공파종중,안동시 일직면 소호헌길 26-3,주거가옥,미상,미상,한산이씨 구정공파종중,,,비지정,X,,False
294,일직면,망호리,한산이씨 대산종가,안동시 일직면 일직점곡로11-12,주거가옥,미상 / 1930년(중건),이용원,이방수,이방수,"정침: 5x5, 'ㅁ'자형, 홑처마, 팔작지붕 사당: 3x1, 'ㅡ'자형, 홑처마, 맞배지붕",경북 문화재자료,O,대산종택,False
295,일직면,망호리,한산이씨 수은종택,안동시 일직면 일직점곡로 3-20,주거가옥,미상,미상,이동수,이동수,"몸채: 6X6, 'ㅁ'자형, 홑처마, 팔작지붕 사당: 3X1",비지정,X,관가당,False
296,일직면,명진리,상현정,안동시 일직면 평팔명진길 376,정자,일제강점기 / 1934년(복원),미상,,,3X1.5,안동시 문화유산,X,"구담서당, 귀담서당",False
297,일직면,명진리,일직손씨 직산재,안동시 일직면 못골안길 27-2,재사,구한말 / 1980년(신축),일직손씨 문중,,,"강당: 6x2, 'ㅡ'자형, 겹처마, 팔작지붕 주사(구 강당): 3x1.5, 'ㄱ'자형, 팔작지붕 대문채: 1x1, 맞배지붕",비지정,X,,False
298,일직면,명진리,한산이씨 영모재,안동시 일직면 덕동안길 5-5,재사,미상,한산이씨 문중,,,"강당(영모재): 3x1, 겹처마, 팔작지붕 주사(본채): 4x1, 'ㅡ'자형 주사(부속채): 2x1, 'ㅡ'자형, 맞배지붕",비지정,X,,False
299,일직면,송리리,송음정,안동시 일직면 굼치걸길 60-15,정자,1899년,병욱,,,"3X1.5, 홑처마, 팔작지붕",비지정,X,,False
300,일직면,송리리,안동 상여집,안동시 일직면 까박골길 66-1,곳집,19새기 초,미상,마을 주민,권대경,"3X1, 'ㅡ'자형, 맞배지붕",경북 민속문화재,X,,False
301,일직면,송리리,안동 영양남씨 재사,안동시 일직면 까박골길 66-1,재사,1826년 / 1960년(중건),영양남씨 문중,영양남씨 문중,남태승,"재사: 5X5, 'ㅁ'자형, 홑처마, 맞배지붕",경북 민속문화재,X,"이로재, 이로정",False
302,일직면,송리리,안동 후산정사,안동시 일직면 현마을길 28-5,정자,1780년 / 1818년(중건),이종수,진성이씨 일직파문중,이봉기 조복희,3x2,경북 문화재자료,X,,False
303,일직면,원리,서산서원,안동시 일직면 원골1길 19-1,서원,1771년,지방 유림,한산이씨 문중,이동수,"강당: 5x2, 홑처마, 팔작지붕 사당(숭덕사): 3x1, 맞배지붕 동서재: 3x1 전사청: 2x1 주소: 5X3",경북 기념물,X,,False
304,일직면,조탑리,근성서원,안동시 일직면 긴대골길 12,서원,1812년 / 1926년(복설),미상,,,강당:4X2 사당(원훈사): 3X2 전사청: 2X1,비지정,X,,False
305,일직면,조탑리,타양서원,안동시 일직면 조탑본길 55-11,서원,1747년 / 1948년(복설),지방 유림,,,상현사: 3x2 성경당: 5x2 천사청: 2x1 동재: 3x1,비지정,X,,False
306,임동면,고천리,고택 및 반은정,안동시 임동면 고천지촌로 289-6,주거가옥,미상,류선호,,,"안채: 5X2 대문채: 3X1, 솟을대문 정자(반은정): 3X1, 홑처마, 맞배지붕",비지정,X,,False
307,임동면,고천리,괴애정사,안동시 임동면 노루매기길 442-3,정자,미상 / 1994년(중건),미상,,,"3X1.5, 겹처마, 팔작지붕",비지정,X,,False
308,임동면,고천리,전주류씨 백졸암종가,안동시 임동면 양지말길 3,주거가옥,미상,미상,류만흠,정재현,,비지정,X,,False
309,임동면,마령리,남평문씨 모선재,안동시 임동면 임예로 524-10,재사,미상,남평문씨 문중,,,,비지정,X,,False
310,임동면,마령리,만취재,안동시 임동면 맛재길 2-3 (주택 뒷편),재사,미상,밀양박씨 문중,,,"3X1, 홑처마, 팔작지붕",비지정,X,,False
311,임동면,마령리,은계정,안동시 임동면 임예로 250-8,정자,미상,은계공,,,,비지정,X,,False
312,임동면,망천리,전주류씨 임당재사,안동시 임동면 숲당2길 25,재사,미상,전주류씨 문중,,,"튼 'ㅁ'자형 강당: 5X2, 'ㅡ'자형, 홑처마, 팔작지붕 주사채: 8X3, 'ㄷ'자형",비지정,X,,False
313,임동면,박곡리,지산서당,안동시 임동면 지례예술촌길 427,서당,1800년 / 1926년(복원),지방 사림 안동김씨 문중,김원길,김수형,"5X2, 'ㅡ'자형, 겹처마, 팔작지붕",경북 문화재자료,O,,False
314,임동면,박곡리,지촌제청,안동시 임동면 지례예술촌길 427,재사,1712년,안동김씨 문중,김원길,김수형,"제청: 5X2, 'ㅡ'자형, 겹처마, 팔작지붕 안채, 아래채: 4X2, 맞배지붕, '二'자형",경북 유형문화재,X,,False
315,임동면,박곡리,지촌종택,안동시 임동면 지례예술촌길 427,주거가옥,1712년,김방걸,김원길,김수형,"몸채: 5X5, 'ㅁ'자형, 홑처마, 팔작지붕 별묘: 2X2, 맞배지붕 대문채: 4X1, 'ㅡ'자형, 홑처마, 맞배지붕 사당: 3X2, 홑처마, 맞배지붕",경북 민속문화재,O,"무언재, 지례예술촌",False
316,임동면,사월리,안동권씨 금하재,안동시 임동면 사월큰길 464-6,재사,미상,안동권씨 문중,,,"2X1.5, 홑처마, 맞배지붕",비지정,X,,False
317,임동면,사월리,안동권씨 사은재,안동시 임동면 사월큰길 464-14,재사,미상,안동권씨 문중,,,,비지정,X,,False
318,임동면,수곡리,기양서당,안동시 임동면 수곡용계로 1698,서당,미상,전주류씨 문중,전주류씨 문중,류영규,"강당: 5X2 고직사: 'ㅁ'자형, 홑처마 사당(추원사): 3X2, 맞배지붕",경북 민속문화재,O,,False
319,임동면,수곡리,만우정,안동시 임동면 경동로 2661-8 (정재종택 진입로),정자,1855년,류치명의 제자,류성호,류성호,"3X2, 홑처마, 팔작지붕",경북 문화재자료,X,,False
320,임동면,수곡리,수애당,안동시 임동면 수곡용계로 1714-11,주거가옥,1939년,류진걸,류효진,문정현,"정침: 7X2, 'ㅡ'자형, 홑처마, 팔작지붕 고방채: 12X1, 'ㄱ'자형, 홑처마, 맞배지붕",경북 문화재자료,O,,False
321,임동면,수곡리,안동 봉황사 대웅전,안동시 임동면 수곡리 563,사찰,644년,미상,봉황사,봉황사,"5X3, 다포계, 겹처마, 팔작지붕",보물,X,,False
322,임동면,수곡리,안동 정재종택,안동시 임동면 경동로 2661-8,주거가옥,미상,미상,류성호,류성호,"안채: 6X6, 'ㅁ'자형, 홑처마, 맞배지붕 행랑채: 7X1, 'ㅡ'자형, 홑처마, 맞배지붕 사당: 3X2, 'ㅡ'자형, 홑처마, 맞배지붕",경북 기념물,O,,False
323,임동면,수곡리,전주류씨 무실종택,안동시 임동면 수곡용계로 1714-12,주거가옥,미상,미상,류승우,류승우,"7X6, 'ㅁ'자형, 홑처마, 팔작지붕",경북 민속문화재,X,월회당,False
324,임동면,수곡리,화림정,안동시 임동면 수곡용계로 1685,정자,미상,미상,,,,비지정,X,,False
325,임동면,지리,운천재사,안동시 임동면 고천지촌로 988,재사,1639년,의성김씨 문중,의성김씨 문중,김시성,"4X5, 'ㅁ'자형, 홑처마, 서산각지붕",경북 문화재자료,X,의성김씨 지동재사,False
326,임하면,고곡리,영모정,안동시 임하면 고곡길 300,정자,미상,미상,,,,비지정,X,임하면,False
327,임하면,금소리,예천임씨 추모재,안동시 임하면 금소중앙길 40,재사,미상 / 1937년(중수),미상,,,"8X1, 'ㄷ'자형,",비지정,X,,False
328,임하면,금소리,갈암금양강도지,안동시 임하면 금소길 400-6,재사,1810년,예천임씨 문중,이병설,이병설,"4X3, 'ㄷ'자형, 홑처마, 팔작지붕",경북 기념물,X,,False
329,임하면,금소리,계와고택,안동시 임하면 금소중앙길 56-1,주거가옥,미상,미상,임방호,임방호,,비지정,O,,False
330,임하면,금소리,금운정,안동시 임하면 금소중앙길 26-1,정자,1985년,울진임씨 문중,,,"3X1.5, 겹처마, 팔작지붕",비지정,X,,False
331,임하면,금소리,금포고택,안동시 임하면 금소중앙길 50-2,주거건축,19세기 추정 / 2008년(보수),미상,임영하,임영하,"4X4, 홑처마, 팔작지붕 3,X1, 홑처마, 팔작지붕",경북 문화재자료,O,,False
332,임하면,금소리,만초고택,안동시 임하면 금소중앙길 48,주거가옥,미상 / 2015년(복원),미상,관리인,관리인,,안동시 문화유산,O,,False
333,임하면,금소리,모하정,안동시 임하면 금소길 418,정자,1976년,예천임씨 문중,,,"4X1.5, 겹처마, 팔작지붕",비지정,X,,False
334,임하면,금소리,서산종택,안동시 임하면 금소중앙길 54,주거가옥,미상,미상,,,,비지정,X,,False
335,임하면,금소리,세복당,안동시 임하면 금소4길 23-2,정자,1955년,예천임씨 문중,,,"2X1, 'ㅡ'자형, 홑처마 맞배지붕",비지정,X,,False
336,임하면,금소리,예천임씨 금곡재,안동시 임하면 금소4길 25,정자,1810년,예천임씨 문중,예천임씨 문중,임치로,"4X3, 'ㄷ'자형, 홑처마, 팔작지붕",경북 문화재자료,X,,False
337,임하면,금소리,예천임씨 금양파종택,안동시 임하면 금소중앙길 48,주거가옥,미상,미상,예천임씨 금양파문중,임영기,,비지정,X,금암리종택,False
338,임하면,금소리,예천임씨 송하재사,안동시 임하면 금소길 412-6,재사,"미상 / 1926년, 1996년(중건)",예천임씨 문중,예천임씨 문중,임영기,3X2,비지정,X,,False
339,임하면,금소리,울진임씨 유울재,안동시 임하면 금소중앙길 26-2,재사,1929년,울진임씨 문중,,,"4X2, 홑처마, 팔작지붕",비지정,X,,False
340,임하면,금소리,화악정,안동시 임하면 금소길 418,정자,1975년,예천임씨 정자,,,,비지정,X,,False
341,임하면,신덕리,운암정,안동시 임하면 범바위길 22,정자,1994년,안동김씨 문중,,,"4X2 'ㅡ'자형, 겹처마, 팔작지붕",비지정,X,,False
342,임하면,신덕리,의성김씨 운암종택,안동시 임하면 범바위길 12,주거가옥,1754년 추정,미상,김의만,김의만,"정침: 5X5, 'ㅁ'자형, 홑처마, 서산각지붕 사랑채: 3X2, 'ㅁ'자형, 홑처마, 팔작지붕",경북 민속문화재,X,,False
343,임하면,오대리,후산초당,안동시 임하면 원오대길 111-7,정사,미상,이재,,,,비지정,X,,False
344,임하면,임하리,갈계정,안동시 임하면 살구꽃길 31-1,정자,미상,김도,김재석,김재석,"3X2, 'ㅡ'자형, 홑처마, 맞배지붕",비지정,X,,False
345,임하면,임하리,경산정사,안동시 임하면 푸레실길 82 (송석재사 근처),정사,미상,미상,,,,비지정,X,,False
346,임하면,임하리,괴와고택,안동시 임하면 임하길 352-21,주거고택,미상,미상,,,,안동시 문화유산,X,괴와구려,False
347,임하면,임하리,국탄댁,안동시 임하면 임하길 369,주거가옥,1757년,김시정,김창원,이금자,"안채: 4X3, 'ㅡ'자형, 홑처마, 팔작지붕 사랑채: 4X1, 'ㅡ'자형, 홑처마, 맞배지붕",경북 민속문화재,X,,False
348,임하면,임하리,길헌,안동시 임하면 기르마제길 19,주거가옥,미상,김기현 6대조,,,"6X4, 'ㅁ'자형",비지정,X,차산초려,False
349,임하면,임하리,백운정,안동시 임하면 경동로 1850-97,정자,1568년,김수일,김승태,김승태,"3X2, 팔작지붕",경북 문화재자료,X,,False
350,임하면,임하리,선유정,안동시 임하면 임하길 329-29,정자,미상,김징,,,"3X2, 겹처마, 팔작지붕",비지정,X,,False
351,임하면,임하리,야암정사,안동시 임하면 임하길 550-8,정자,미상,김임,,,"4X1.5, 'ㅡ'자형, 겹처마, 팔작지붕",비지정,X,,False
352,임하면,임하리,오류헌고택,안동시 임하면 기르마제길 18-15,주거가옥,1678년,김원중,김상돈,김우택,ㅁ'자형,국가민속문화재,O,,False
353,임하면,임하리,와룡암,안동시 임하면 중마1길 35,정자,미상,미상,,,,비지정,X,,False
354,임하면,임하리,의성김씨 송석재사,안동시 임하면 푸레실길 82,재사,미상,미상,김창균,김창균,"5X7, 'ㅁ'자형, 홑처마, 맞배지붕",경북 민속문화재,X,,False
355,임하면,임하리,이우당종택,안동시 임하면 임하중마길 45-1,주거가옥,미상,권익시,권기진,권기진,"안채: 5X5, 'ㅁ'자형, 홑처마, 팔작지붕 사랑채: 5X6, 'ㅡ'자형, 홑처마, 팔작지붕",경북 민속문화재,X,,False
356,임하면,임하리,임호서당,안동시 임하면 임하길 305,서원,미상,미상,의성김씨 문중,김시태,"강당: 5X2, 홑처마, 팔작지붕",비지정,X,,False
357,임하면,임하리,죽림헌,안동시 임하면 기르마제길 13,주거가옥,미상,미상,김세준,김종경,,비지정,X,,False
358,임하면,임하리,지례동 양동댁,안동시 임하면 기르마제길 38-8,주거가옥,미상,미상,김호원,김호원,"본채: 5X6, 'ㅁ'자형, 홑처마, 팔작지붕+맞배지붕 사당: 2X2, 'ㅁ'자형, 홑처마, 맞배지붕",경북 민속문화재,X,,False
359,임하면,임하리,학산정,안동시 임하면 임하길 329-21,정자,미상,미상,,,3X2,비지정,X,제정,False
360,임하면,천전리,귀봉종택,안동시 임하면 내앞길 5-1,주거가옥,1660년 추정,미상,김승태,김상태,"ㅁ'자형, 홑처마, 팔작지붕",국가민속문화재,X,,False
361,임하면,천전리,만송헌,안동시 임하면 내앞길 19-15,주거가옥,미상,미상,,,"ㄱ'자형, 홑처마, 팔작지붕",비지정,X,,False
362,임하면,천전리,목암정,안동시 임하면 내앞길 19-11 (주택 뒷편),정자,조선후기 추정,김정기,,,"3X1.5, 홑처마, 팔작지붕",비지정,X,,False
363,임하면,천전리,몽선각,안동시 임하면 내앞길 7-12,정자,조선후기 / 1988년(중건),김창석,,,,비지정,X,수명루,False
364,임하면,천전리,백인재고택,안동시 임하면 내앞길 33,주거가옥,조선후기,미상,김시걸,,"7X5.5, 팔작지붕",비지정,X,,False
365,임하면,천전리,백하구려,안동시 임하면 내앞길 35,주거가옥,1885년 / 1907년(확장),김대락,김시중,김호태,"8X5, 'ㅁ'자형, 홑처마, 맞배지붕",경북 기념물,X,,False
366,임하면,천전리,사빈서원,안동시 임하면 천전광산길 53,서원,1709년 / 1908년(복원),의성김씨 문중,의성김씨 문중,김명균,,경북 문화재자료,X,,False
367,임하면,천전리,운곡서당,안동시 임하면 내앞길 19-19,서당,1669년 / 1761년(중건),김학배,의성김씨 문중,김시명,"4X2, 'ㅡ'자형, 홑처마, 팔작지붕",경북 문화재자료,X,,False
368,임하면,천전리,제산종택,안동시 임하면 내앞길 39-1,주거가옥,미상 / 1805년(중수),미상,김재옥,김재옥,"종택: 5X5, 'ㅡ'자형, 홑처마, 서산각지붕 별당: 3X1.5, 'ㅡ'자형, 홑처마, 맞배지붕",경북 민속문화재,X,"우곡초당, 구사당",False
369,임하면,천전리,청계종택,안동시 임하면 내앞길 1-11,주거가옥,미상,미상/김성일(재건),김창균,김창균,"안채: 'ㅁ'자형, 홑처마, 팔작지붕 사랑채: 4X2, 'ㅡ'자형, 홑처마, 팔작지붕 행랑채: 4X2, 'ㅡ'자형, 홑처마, 팔작지붕",보물,X,의성김씨 종택,False
370,임하면,천전리,추파고택,안동시 임하면 내앞길 1-8,주거가옥,1800년대 추정,미상,이화경,김시황,"6x6, 'ㅁ'자형, 홑처마, 우진각지붕",경북 문화재자료,X,,False
371,임하면,천전리,치헌,안동시 임하면 내앞길 45,정사,1785년,김영운,김대원,홍종대,"안채: 4X1, 'ㅡ'자형, 홑처마, 맞배지붕 사랑채: 4X1, 'ㅡ'자형, 홑처마, 맞배지붕",경북 문화재자료,X,,False
372,와룡면,가구리,광산김씨 유일재 종택,안동시 와룡면 선돌길 113-16,주거가옥,1700년대 말 추정,미상,김병문,김병문,"정침: 6X6, 'ㅡ'자형, 홑처마, 팔작지붕+맞뱆;븡 사당: 3X1.5, 'ㅡ'자형, 홑처마, 맞배지붕",경북 민속문화재,X,,False
373,와룡면,가구리,우송정,안동시 와룡면 농암로 191,정자,미상,미상,,,"3X1, 홑처마, 팔작지붕",비지정,X,,False
374,와룡면,가구리,유하사,안동시 와룡면 어은길 39,사찰,"1897년 / 1969년(중수, 신축)",월선보살,유하사,유하사,"대웅전: 5x3, 겹처마, 팔작지붕 용화전: 5x2, 겹처마, 팔작지붕 법기헌: 2x1",비지정,X,,False
375,와룡면,가야리,광산김씨 긍구당종택,안동시 와룡면 가야길 377-5,주거가옥,조선전기,미상,김진숙,김진숙 이용구,"정침: 5X5, 'ㅁ'자형, 홑처마, 팔작지붕+맞배지붕 사당: 3X1.5, 'ㅡ'자형, 홑처마, 맞배지붕",경북 유형문화재,X,오매당,False
376,와룡면,가야리,안동권씨 부정공파종가,안동시 와룡면 가야길 112-8,주거가옥,미상,미상,권기승,류동걸,"5X5, 'ㅁ'자형, 홑처마, 팔작지붕",비지정,X,부정공세려,False
377,와룡면,감애리,영모재,와룡면 감애리 감애구송로 195-17,재사,미상,남양홍씨 문중,,,"강당: 4X2, 홑처마, 맞배지붕 관리사: 5X2",비지정,X,우무골재사,False
378,와룡면,감애리,영천이씨 우곡재사,안동시 와룡면 텃골양장길 11-9,재사,미상 / 1959년(중건),영천이씨 문중,,,"강당: 4X0.5, 'ㅡ'자형, 팔작지붕 관리사: 3X1, 우직각지붕",비지정,X,,False
379,와룡면,라소리,원산정,안동시 와룡면 나소로 383-10,정자,미상,미상,,,,비지정,X,,False
380,와룡면,라소리,육유재,안동시 와룡면 배실길 180-8,정자,미상,미상,,,,비지정,X,,False
381,와룡면,라소리,추원정,안동시 와룡면 나소로 384-5,정자,미상,미상,,,,비지정,X,,False
382,와룡면,산아리,용계서원,안동시 와룡면 산골안길 20-8,서원,1788년,광산유씨 문중,광산김씨 유일재공파종중,,"4X2, 홑처마, 맞배지붕",비지정,X,,False
383,와룡면,서지리,안동 의성김씨 서지재사,안동시 와룡면 가수내길 8-14,재사,1700년대 추정,,김종길,최대식,"5X5, 'ㅁ'자형, 홑처마, 맞배지붕",국가민속문화재,X,,False
384,와룡면,서지리,흥해배씨 가수천재사,안동시 와룡면 성낭골길 33-13,재사,"1587년 / 1963년, 1970년 (신축)",흥해배씨 문중,흥해배씨문중,임정근,"재사: 4X4, 'ㅁ'자형 신축 강당(효사암): 3X2",비지정,X,,False
385,와룡면,서현리,청주청씨 추원재사,안동시 와룡면 현삼길 101-1,재사,1588년 / 1986년(중수),정사신,,,"강당: 6X2, 'ㅡ'자형 주사: 6X2, 'ㅡ'자형, 맞배지붕 전사청: 4X1, 'ㅡ'자형, 팔작지붕",비지정,X,,False
386,와룡면,오천리,계암정,안동시 와룡면 군자리길 21,정자,미상,김령,,수운잡방,"3X2, 겹처마 팔작지붕",비지정,X,,False
387,와룡면,오천리,광산김씨 재사 및 사당,안동시 와룡면 군자리길 29,재사,1536년,광산김씨 문중,광산김씨 문중 김방식,김재식관리 영주댁거주,"재사: 4X1, 'ㅡ'자형, 홑처마, 맞배지붕 사당: 1X1, 'ㅡ'자형, 홑처마, 맞배지붕 고사: 3X2 'ㅡ'자형, 홑처마, 맞배지붕",경북 유형문화재,X,,False
388,와룡면,오천리,산남정,안동시 와룡면 군자리길 21,정자,미상,미상,,오천군자마을,"4X2, 겹처마, 맞배지붕",비지정,O,낙운정,False
389,와룡면,오천리,설월당,안동시 와룡면 군자리길 21,정자,미상 / 1930년(중수),김부륜,,수운잡방,"4X1, 겹처마, 팔작지붕",안동시 문화유산,X,,False
390,와룡면,오천리,아호고려,안동시 와룡면 군자리길 39,주거가옥,미상,미상,,,,비지정,O,,False
391,와룡면,오천리,안동 광산김씨 탁청정공파 종택,안동시 와룡면 군자리길 33-6,주거가옥,1541년,김수,광산김씨 예안파종중,이미령,"정침: 6X4, 'ㅁ'자형, 홑처마, 팔작지붕 누각(탁청정): 3X2, 'ㅡ'자형, 겹처마, 팔작지붕","국가민속문화재 (종택, 탁청정)",X,탁청정종택,False
392,와룡면,오천리,양정당,안동시 와룡면 군자리길 21,정자,미상,김부신,,,"4X1, 겹처마, 팔작지붕",비지정,X,,False
393,와룡면,오천리,읍청정,안동시 와룡면 군자리길 21,정자,미상,미상,,,"4X2, 겹처마, 맞배지붕",비지정,O,,False
394,와룡면,오천리,침락정,와룡면 오천리 군자리길 21,정자,미상,김광계,광산김씨 문중,김방식,"4X2, 팔작지붕",경북 유형문화재,X,,False
395,와룡면,오천리,후조당종택,안동시 와룡면 군자리길 21,주거가옥,1500년대,김부필,김준식,김방식,"후조당: 3X2, 'ㄱ'자형, 겹처마, 팔작지붕 사당 1X1 맞배지붕,",국가민속문화재,O,광산김씨 예안파종택,False
396,와룡면,이상리,안동 송소종택,안동시 와룡면 샘골길 43-40,주거가옥,1592년,권우,권응룡,권영대,"안채: 5X2.5, 'ㅡ'자형, 홑처마, 팔작지붕 문간채: 5X4, 'ㄷ'자형, 홑처마, 팔작지붕 강당(이계서당): 4X2, 'ㅡ'자형 재사: 3X1, 'ㅡ'자형",국가민속문화재,X,,False
397,와룡면,이하리,청주정씨 저수봉재사,안동시 와룡면 아름달길 100,재사,미상,청주정씨 문중,,,"재사: 3X0.5, 'ㅡ'자형 홑처마, 팔작지붕 주사: 4X1X2, 'ㄴ'자형, 우진각지붕",비지정,X,,False
398,와룡면,절강리,망호정,안동시 와룡면 절강길 225,정자,,안동김씨 문중,,,"3X.1.5, 홑처마, 팔작지붕",비지정,X,,False
399,와룡면,주하리,석류정,안동시 와룡면 태리금산로 282-6,정자,일제강점기,이한걸,,,,비지정,X,진성이씨 율재선생 정자,False
400,와룡면,주하리,송은정,안동시 와룡면 태리금산로 294,정자,미상,미상,,,,비지정,X,,False
401,와룡면,주하리,안동 진성이씨 종택,안동시 와룡면 태리금산로242-5,주거가옥,1492년,이연,이세준,이세준,"본채: 9X7, 'ㅁ'자형, 홑처마, 팔작지붕 별당(경류정): 3X2, 'ㅡ'자형,, 홑처마, 팔작지붕 사당: 3X1, 겹처마",국가민속문화재,O,"주촌종택, 두루종택, 경류정종택",False
402,와룡면,태리,안동 청주정씨 죽헌고택,안동시 와룡면 태리금산로 116,주거가옥,1500년대(건립) / 19세기 초반(중수),미상,정윤성,정상인,"몸채: 6.5X4, 홑처마, 팔작지붕 사당: 3X2, 홑처마, 팔작지붕",경북 문화재자료,X,,False
403,와룡면,주하리,유암서원,안동시 와룡면 서주길 571-8,서원,1761년 / 1936년(복원),지방 사림,,,"존덕사: 3X2, 맞배지붕 강당: 4X3, 팔작지붕 전사청: 1X1, 맞배지붕 신문: 3X1, 맞배지붕",비지정,X,,False
404,와룡면,주하리,진성이씨 덕전재사,안동시 와룡면 태리금산로 275-21,재사,미상,진성이씨 문중,,,"5X4, 'ㅁ'자집",비지정,X,,False
405,와룡면,주하리,진성이씨 동막재사,안동시 와룡면 동막골길 59-14,재사,1595년 / 1990년(재건),미상,,,"ㄱ'자형' 몸채: 4X4, 'ㅡ'자형, 팔작지붕 창고채",비지정,X,,False
406,와룡면,주하리,진성이씨 주촌재사,안동시 와룡면 감애주하길 380-18,재사,미상,미상,,,,비지정,X,,False
407,와룡면,주하리,회양당,안동시 와룡면 태리금산로 282-5,주거가옥,미상,미상,,,,비지정,X,진성이씨 율재선생 본가,False
408,와룡면,중가구리,노곡강당,안동시 와룡면 동악골길 355,정자,1878년 / 1995년(중건),미상,,,,비지정,X,,False
409,와룡면,중가구리,안동 영양남씨 남흥재사,안동시 와룡면 남흥길 108-16,재사,1500년 추정,영양남씨 문중,영양남씨 문중,남승섭,"5X5, 'ㅁ'자형, 홑처마, 서산각지붕",국가민속문화재,X,,False
410,와룡면,중가구리,영가정,안동시 와룡면 가장실길 117,정자,미상,미상,,,,비지정,X,,False
411,와룡면,중가구리,영모루,안동시 와룡면 남흥길 19,정자,1578년,안제,,,,비지정,X,산음정,False
412,와룡면,중가구리,우경고택,안동시 와룡면 가장실길 124,주거가옥,미상,미상,,,,비지정,O,,False
